date, global, world, global pet expo,Tagline
2014-08-24,2,18,0,0
2014-08-31,2,18,0,0
2014-09-07,2,19,0,0
2014-09-14,3,17,0,0
2014-09-21,3,18,0,0
2014-09-28,3,18,0,0
2014-10-05,3,18,0,0
2014-10-12,3,20,0,0
2014-10-19,3,24,0,0
2014-10-26,3,28,0,0
2014-11-02,3,17,0,0
2014-11-09,3,18,0,0
2014-11-16,3,17,0,0
2014-11-23,2,19,0,0
2014-11-30,3,18,0,0
2014-12-07,3,18,0,0
2014-12-14,2,18,0,0
2014-12-21,2,17,0,0
2014-12-28,2,18,0,0
2015-01-04,2,18,0,0
2015-01-11,3,18,0,0
2015-01-18,3,18,0,0
2015-01-25,3,18,0,0
2015-02-01,3,18,0,0
2015-02-08,3,19,0,0
2015-02-15,3,20,0,0
2015-02-22,3,19,0,0
2015-03-01,3,20,0,0
2015-03-08,3,20,0,0
2015-03-15,3,21,0,0
2015-03-22,3,20,0,0
2015-03-29,3,19,0,0
2015-04-05,3,18,0,0
2015-04-12,3,18,0,0
2015-04-19,3,18,0,0
2015-04-26,3,19,0,0
2015-05-03,3,19,0,0
2015-05-10,3,19,0,0
2015-05-17,3,19,0,0
2015-05-24,2,20,0,0
2015-05-31,3,21,0,0
2015-06-07,3,30,0,0
2015-06-14,3,32,0,0
2015-06-21,2,27,0,0
2015-06-28,2,26,0,0
2015-07-05,3,25,0,0
2015-07-12,2,20,0,0
2015-07-19,2,21,0,0
2015-07-26,2,19,0,0
2015-08-02,2,19,0,0
2015-08-09,2,18,0,0
2015-08-16,2,19,0,0
2015-08-23,3,21,0,0
2015-08-30,3,19,0,0
2015-09-06,2,20,0,0
2015-09-13,3,19,0,0
2015-09-20,3,19,0,0
2015-09-27,3,19,0,0
2015-10-04,3,19,0,0
2015-10-11,3,20,0,0
2015-10-18,3,22,0,0
2015-10-25,3,27,0,0
2015-11-01,3,24,0,0
2015-11-08,3,18,0,0
2015-11-15,3,19,0,0
2015-11-22,2,17,0,0
